00, ""
01, "Автошкола РОСТО"
02, "Базовая ул"
03, "Больница"
04, "Бор"
05, "Бумажная ф-ка"
06, "Военкомат"
07, "Вокзал"
08, "ГАТП"
09, "Горгаз"
10, "Городская больница"
11, "Гостиница"
12, "Дв. Бракосочетания"
13, "Дом Быта"
14, "Западная ул"
15, "Захаркина ул"
16, "Зелёная Зона"
17, "Земляной мост"
18, "Инст-т Биофизики"
19, "Инст-т Микробиологии"
20, "Институт"
21, "Институт Белка"
22, "МГУ"
23, "Магазин "Уют""
24, "Магазин №14"
25, "Магазин №9"
26, "Мкр-н Д"
27, "Музей"
28, "Музыкальная школа"
29, "Нижняя ул"
30, "По требованию"
31, "По требованию (Семаш"
32, "По требованию (бумаж"
33, "По требованию (г. П"
34, "По требованию (ул. П"
35, "Прогоннная ул"
36, "Пущино"
37, "Революции пл"
38, "СКБ"
39, "СНФ"
40, "Селецкая ул"
41, "ФИБХ"
42, "Школа"
43, "Школа №5"
44, "з-д Нефтеаппаратприб"
45, "з-д Стройматериалов"
46, "клуб СМУ-7"
47, "пл. 49 Армии"
48, "пл. Ленина"
49, "с/х Большевик"
50, "ст Лесная"
51, "стадион Спартак"
52, "ул. Горького"
53, "ул. Космонавтов"
54, "ул. Крупской"
55, "ул. Центральная"
56, "ул. Чернышевского"
57, "ул. Чехова"
58, "ф-ка Кр.текстильщик"
59, "ф-ка Суконная"